work_year,employee_residence,remote_ratio,company_location,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,company_size_L,company_size_M,company_size_S,salary_in_usd
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.84939770159144
2021,55,2,48,False,False,True,False,False,False,True,False,True,False,False,11.512925464970229
2021,13,1,11,False,False,True,False,False,False,True,False,True,False,False,11.156236235215168
2021,55,2,48,False,False,True,False,True,False,False,False,False,True,False,11.512925464970229
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.77528972943772
2022,55,0,48,False,False,True,False,False,False,False,True,True,False,False,11.982929094215963
2022,55,2,48,False,False,True,False,False,False,False,True,True,False,False,12.84792653170257
2022,20,2,18,False,False,True,False,True,False,False,False,False,True,False,10.73219219685162
2022,55,0,48,False,False,True,False,False,False,False,True,False,True,False,12.12648816618733
2022,14,2,12,False,False,True,False,False,False,False,True,False,True,False,11.999503477118227
2021,55,0,48,False,False,True,False,False,True,False,False,True,False,False,12.429216196844383
2020,49,2,48,False,True,False,False,False,False,False,True,False,False,True,11.002099841204238
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.918390573078392
2020,20,2,18,False,False,True,False,False,False,True,False,False,False,True,11.25101509747592
2021,55,0,48,False,False,True,False,False,False,False,True,True,False,False,12.528156144699286
2021,45,1,48,False,False,True,False,False,False,False,True,False,False,True,11.982929094215963
2021,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.918390573078392
2022,55,0,48,False,False,True,False,False,False,False,True,False,True,False,10.896739325546411
2022,27,2,48,False,False,True,False,False,False,True,False,True,False,False,12.206072645530174
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,12.345834587905333
2022,20,2,18,False,False,True,False,False,False,True,False,False,True,False,11.494333704279097
2022,55,0,48,False,False,True,False,False,False,False,True,False,True,False,11.502875129116727
2022,55,0,48,False,False,True,False,False,False,False,True,False,True,False,11.310393037560129
2021,4,2,4,False,False,True,False,False,False,True,False,False,True,False,11.392496431747816
2022,55,2,48,False,False,True,False,False,False,False,True,True,False,False,12.250567885416725
2022,18,2,16,False,False,True,False,False,False,True,False,False,True,False,11.096636995028227
2021,14,2,12,False,False,True,False,False,False,False,True,False,True,False,12.06544182579038
2022,55,2,48,False,False,True,False,False,False,True,False,False,True,False,12.206072645530174
2020,2,0,2,False,False,True,False,False,False,False,True,False,False,True,11.421215795542103
2021,7,0,5,False,False,True,False,False,False,False,True,False,True,False,9.847287502847928
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,12.100712129872347
2022,55,0,48,False,False,True,False,False,False,False,True,False,True,False,11.502875129116727
2022,20,0,18,False,False,True,False,False,False,True,False,False,True,False,11.088858408462402
2021,55,2,48,False,False,True,False,True,False,False,False,False,False,True,11.407564949312402
2022,16,1,14,False,False,False,True,True,False,False,False,False,True,False,11.512925464970229
2021,7,2,48,False,False,True,False,False,False,False,True,False,False,True,11.982929094215963
